Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice
01sg5000001KXs6AAG,01tg5000001lk6rAAA,120000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk70AAA,110000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk71AAA,95000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk72AAA,175000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk73AAA,220000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk74AAA,87000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk75AAA,310000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk76AAA,45000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk77AAA,600000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk78AAA,135000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk79AAA,980000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6sAAA,250000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7AAAQ,420000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7BAAQ,155000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7CAAQ,72000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7DAAQ,520000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7EAAQ,89000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7FAAQ,1650000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7GAAQ,330000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7HAAQ,115000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7IAAQ,275000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7JAAQ,54000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6tAAA,1250000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk7KAAQ,94000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6uAAA,680000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6vAAA,210000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6wAAA,160000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6xAAA,350000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6yAAA,480000,TRUE,FALSE
01sg5000001KXs6AAG,01tg5000001lk6zAAA,99000,TRUE,FALSE
